date_time,precipMM,maxtempC,mintempC,humidity,pressure,tempC,visibility,windspeedKmph,winddirDegree,cloudcover,WindGustKmph,WindChillC,totalSnow_cm,sunHour,uvIndex,year,month,day,is_rainy
2009-04-01,0.0,36.0,19.0,35.791666666666664,1008.75,27.458333333333332,10.0,7.5,128.875,2.7916666666666665,10.833333333333334,29.75,0.0,11.6,7.0,2009,4,1,False
2009-04-02,0.0,35.0,20.0,36.0,1009.625,27.291666666666668,10.0,10.083333333333334,126.375,3.875,14.333333333333334,28.291666666666668,0.0,11.6,7.0,2009,4,2,False
2009-04-03,0.0,35.0,18.0,34.916666666666664,1010.2916666666666,27.25,10.0,10.291666666666666,122.95833333333333,1.375,14.541666666666666,28.875,0.0,11.6,7.0,2009,4,3,False
2009-04-04,0.0,36.0,19.0,34.291666666666664,1010.5416666666666,27.75,10.0,11.708333333333334,122.125,0.25,15.666666666666666,29.166666666666668,0.0,11.6,7.0,2009,4,4,False
2009-04-05,0.0,37.0,19.0,38.291666666666664,1010.8333333333334,27.458333333333332,10.0,8.083333333333334,127.91666666666667,1.6666666666666667,11.291666666666666,29.708333333333332,0.0,11.6,7.0,2009,4,5,False
2009-04-06,0.0,38.0,20.0,40.625,1008.7083333333334,28.791666666666668,10.0,7.333333333333333,119.70833333333333,6.541666666666667,10.416666666666666,30.041666666666668,0.0,11.6,7.0,2009,4,6,False
2009-04-07,0.0,37.0,23.0,37.666666666666664,1007.75,29.458333333333332,10.0,11.083333333333334,134.41666666666666,2.7083333333333335,15.083333333333334,30.416666666666668,0.0,11.6,7.0,2009,4,7,False
2009-04-08,0.0,36.0,21.0,38.791666666666664,1008.0833333333334,28.916666666666668,10.0,8.708333333333334,135.33333333333334,6.041666666666667,11.833333333333334,30.458333333333332,0.0,11.6,7.0,2009,4,8,False
2009-04-09,0.9,35.0,23.0,49.125,1008.6666666666666,28.125,10.0,11.375,110.08333333333333,22.083333333333332,14.625,28.458333333333332,0.0,11.6,7.0,2009,4,9,True
2009-04-10,0.0,33.0,20.0,53.75,1009.1666666666666,26.5,10.0,10.916666666666666,105.45833333333333,21.0,14.708333333333334,27.0,0.0,11.6,7.0,2009,4,10,False
2009-04-11,0.0,32.0,20.0,42.916666666666664,1008.9166666666666,26.833333333333332,10.0,7.5,105.75,44.083333333333336,10.375,27.458333333333332,0.0,8.9,7.0,2009,4,11,False
2009-04-12,0.0,33.0,22.0,37.916666666666664,1007.9166666666666,27.541666666666668,10.0,5.541666666666667,129.25,19.916666666666668,7.833333333333333,28.416666666666668,0.0,11.6,7.0,2009,4,12,False
2009-04-13,0.1,36.0,21.0,43.083333333333336,1006.5833333333334,28.75,9.958333333333334,7.041666666666667,156.45833333333334,8.625,9.375,29.833333333333332,0.0,11.6,7.0,2009,4,13,True
2009-04-14,0.2,37.0,22.0,45.083333333333336,1006.5833333333334,28.708333333333332,9.916666666666666,7.166666666666667,227.875,9.916666666666666,9.375,29.708333333333332,0.0,11.6,6.0,2009,4,14,True
